column,question,option
q1_child_now,"We would like to know more about your connection to care, if any. Choose all that apply to you.",I care for a child or children now
q1_aging_now,"We would like to know more about your connection to care, if any. Choose all that apply to you.",I care for an aging person now
q1_disability_now,"We would like to know more about your connection to care, if any. Choose all that apply to you.",I care for someone with a disability or chronic health condition now
q1_paid_provider,"We would like to know more about your connection to care, if any. Choose all that apply to you.","I am a paid care provider. I offer support and services for kids, aging adults, and/or people with disabilities"
q1_cared_past,"We would like to know more about your connection to care, if any. Choose all that apply to you.","I have cared for an aging adult, child, or someone with a disability or chronic health condition in the past"
q1_expect_future,"We would like to know more about your connection to care, if any. Choose all that apply to you.","I am not providing or receiving care right now, but I expect to in the next 5 years"
q1_none,"We would like to know more about your connection to care, if any. Choose all that apply to you.",None of these apply to me
q2a_unaffordable,"What challenges, if any, have you experienced with providing, finding, or receiving care? (Choose all that apply)",Care is unaffordable
q2a_time_flex,"What challenges, if any, have you experienced with providing, finding, or receiving care? (Choose all that apply)",I don't have enough time or flexibility
q2a_figure_out,"What challenges, if any, have you experienced with providing, finding, or receiving care? (Choose all that apply)",It is hard to figure out what help exists or how to get it
q2a_navigate,"What challenges, if any, have you experienced with providing, finding, or receiving care? (Choose all that apply)",It is hard to navigate existing care programs
q2a_job,"What challenges, if any, have you experienced with providing, finding, or receiving care? (Choose all that apply)",Care affected my job or career
q2a_other,"What challenges, if any, have you experienced with providing, finding, or receiving care? (Choose all that apply)",Other
q3a_affordable_quality,What care support would make a difference for you or people around you? (Choose all that apply),"Affordable, high quality care for an aging adult, a child, someone with a disability, or myself"
q3a_backup,What care support would make a difference for you or people around you? (Choose all that apply),Backup care for emergencies or unexpected needs
q3a_extended_childcare,What care support would make a difference for you or people around you? (Choose all that apply),"Extended child care options such as before 9:00AM, after 5:00PM, or during the summer"
q3a_everyday_support,What care support would make a difference for you or people around you? (Choose all that apply),Everyday support like meals and transportation
q3a_other,What care support would make a difference for you or people around you? (Choose all that apply),Other
q4a_family_friends,What or who helps you most with care? (Choose your top 3),"Family, friends, or neighbors"
q4a_health_professionals,What or who helps you most with care? (Choose your top 3),Health care professionals
q4a_paid_provider,What or who helps you most with care? (Choose your top 3),"Paid care provider for home care or personal care, child care, or pre-k"
q4a_community_religious,What or who helps you most with care? (Choose your top 3),Community organizations or religious groups
q4a_employer,What or who helps you most with care? (Choose your top 3),"Employer support for things like leave, flexibility, benefits"
q4a_support_groups,What or who helps you most with care? (Choose your top 3),"Support groups, online, or in-person"
q4a_no_help,What or who helps you most with care? (Choose your top 3),I do not receive help
q4a_other,What or who helps you most with care? (Choose your top 3),Other
q2b_finding,"When you think about the care you, a family member, or friend might need 5 years from now, what challenges, if any, concern you most? (Choose all that apply)","Difficulty with finding care that's available, nearby, or right for me or my family"
q2b_help,"When you think about the care you, a family member, or friend might need 5 years from now, what challenges, if any, concern you most? (Choose all that apply)",Not enough help or support with care
q2b_job,"When you think about the care you, a family member, or friend might need 5 years from now, what challenges, if any, concern you most? (Choose all that apply)",Care could affect my job or career
q3b_affordable_quality,What types of care support and services do you think will matter most for you or people you know? (Choose all that apply),"Affordable, high quality care for an aging adult, a child, someone with a disability, or myself"
q3b_extended_childcare,What types of care support and services do you think will matter most for you or people you know? (Choose all that apply),"Extended child care options such as before 9:00AM, after 5:00PM, or during the summer"
q3b_financial,What types of care support and services do you think will matter most for you or people you know? (Choose all that apply),Financial support for care expenses
q2c_unaffordable,"When you provided or received care what challenges, if any, did you experience? (Choose all that apply)",Care was unaffordable
q2c_finding,"When you provided or received care what challenges, if any, did you experience? (Choose all that apply)","It was hard to find care that was available, nearby, or right for my family and me"
q2c_time_flex,"When you provided or received care what challenges, if any, did you experience? (Choose all that apply)",I didn't have enough time or flexibility
q2c_help,"When you provided or received care what challenges, if any, did you experience? (Choose all that apply)",I didn't have enough help or support
q2c_figure_out,"When you provided or received care what challenges, if any, did you experience? (Choose all that apply)",It was hard to figure out what help existed or how to get it
q2c_navigate,"When you provided or received care what challenges, if any, did you experience? (Choose all that apply)",It was hard to navigate existing care programs
q2c_no_say,"When you provided or received care what challenges, if any, did you experience? (Choose all that apply)",I didn't have a say in how care works for me or my family
q2c_job,"When you provided or received care what challenges, if any, did you experience? (Choose all that apply)",Care affected my job or career
q3c_affordable_quality,What care support would have made a difference for you or people around you? (Choose all that apply),"Affordable, high quality care for an aging adult, a child, someone with a disability, or myself"
q3c_backup,What care support would have made a difference for you or people around you? (Choose all that apply),Backup care for emergencies or unexpected needs
q3c_financial,What care support would have made a difference for you or people around you? (Choose all that apply),Financial support for care expenses
q3c_navigation_help,What care support would have made a difference for you or people around you? (Choose all that apply),"Help with finding, understanding, and accessing available care options"
q3c_schedule_control,What care support would have made a difference for you or people around you? (Choose all that apply),More control over my schedule at work
q3c_paid_time_off,What care support would have made a difference for you or people around you? (Choose all that apply),Paid time off for care
q6_there_when_needed,What would ideal care support and services look like for you? (Choose up to three),"There when you need it - at every stage of life, no matter your job or family situation"
q6_easy_to_use,What would ideal care support and services look like for you? (Choose up to three),Easy to find and use - without complicated steps or barriers
q6_affordable,What would ideal care support and services look like for you? (Choose up to three),Affordable - without causing personal financial strain
